Gene	Symbol	Mock.no4sU.A Readcount	Mock.1h.A Readcount	Mock.2h.A Readcount	Mock.2h.B Readcount	Mock.3h.A Readcount	Mock.4h.A Readcount	SARS.no4sU.A Readcount	SARS.1h.A Readcount	SARS.2h.A Readcount	SARS.2h.B Readcount	SARS.3h.A Readcount	SARS.4h.A Readcount	Mock.1h.A 0.05 quantile	Mock.1h.A Mean	Mock.1h.A MAP	Mock.1h.A 0.95 quantile	Mock.2h.A 0.05 quantile	Mock.2h.A Mean	Mock.2h.A MAP	Mock.2h.A 0.95 quantile	Mock.2h.B 0.05 quantile	Mock.2h.B Mean	Mock.2h.B MAP	Mock.2h.B 0.95 quantile	Mock.3h.A 0.05 quantile	Mock.3h.A Mean	Mock.3h.A MAP	Mock.3h.A 0.95 quantile	Mock.4h.A 0.05 quantile	Mock.4h.A Mean	Mock.4h.A MAP	Mock.4h.A 0.95 quantile	SARS.1h.A 0.05 quantile	SARS.1h.A Mean	SARS.1h.A MAP	SARS.1h.A 0.95 quantile	SARS.2h.A 0.05 quantile	SARS.2h.A Mean	SARS.2h.A MAP	SARS.2h.A 0.95 quantile	SARS.2h.B 0.05 quantile	SARS.2h.B Mean	SARS.2h.B MAP	SARS.2h.B 0.95 quantile	SARS.3h.A 0.05 quantile	SARS.3h.A Mean	SARS.3h.A MAP	SARS.3h.A 0.95 quantile	SARS.4h.A 0.05 quantile	SARS.4h.A Mean	SARS.4h.A MAP	SARS.4h.A 0.95 quantile	Mock.1h.A alpha	Mock.1h.A beta	Mock.2h.A alpha	Mock.2h.A beta	Mock.2h.B alpha	Mock.2h.B beta	Mock.3h.A alpha	Mock.3h.A beta	Mock.4h.A alpha	Mock.4h.A beta	SARS.1h.A alpha	SARS.1h.A beta	SARS.2h.A alpha	SARS.2h.A beta	SARS.2h.B alpha	SARS.2h.B beta	SARS.3h.A alpha	SARS.3h.A beta	SARS.4h.A alpha	SARS.4h.A beta	Length
ENSG00000197756	RPL37A	738	7648.9333	6754	7127.5	10779.5	10948.5	196.5	1819.5	2169	2688.5	851.5	1094	0.0235	0.0284	0.0281	0.0337	0.065	0.0721	0.0719	0.0795	0.0618	0.0684	0.0682	0.0754	0.0968	0.1032	0.1031	0.1098	0.1176	0.1244	0.1242	0.1312	0.055	0.07	0.0689	0.0865	0.1324	0.1504	0.1497	0.1692	0.1326	0.1489	0.1483	0.1659	0.1508	0.1816	0.1799	0.2141	0.1883	0.217	0.2158	0.2468	82.3507	2815.2034	247.5835	3185.5025	255.1514	3473.5592	603.5067	5242.8749	794.1185	5591.9013	49.6075	658.719	152.748	862.7942	183.5294	1048.9896	72.4374	326.5695	116.3838	419.9903	3647
ENSG00000168385	SEPT2	888	8161	5904	7911.5	13418.5	10719.8333	143	1436	1337.8333	2083	744	991	0.0087	0.0116	0.0114	0.0148	0.061	0.0679	0.0676	0.0749	0.0548	0.0602	0.0601	0.0659	0.0864	0.0914	0.0913	0.0964	0.1332	0.1397	0.1396	0.1463	0.0204	0.0308	0.0296	0.043	0.2013	0.2258	0.225	0.251	0.2166	0.2365	0.236	0.2568	0.2583	0.2938	0.2926	0.3302	0.2904	0.3213	0.3205	0.3527	38.5681	3285.3382	240.4199	3302.6729	298.728	4661.8925	812.5446	8080.39	1056.527	6508.9449	19.2396	604.6159	173.2025	594.0505	285.7988	922.7302	127.3055	306.0897	195.1822	412.4081	3701
ENSG00000074054	CLASP1	222	1957.5	1866	1714.2	2618.8333	2351.1667	109	716.5	893	1019.5	371.5	580	0.1024	0.1196	0.1188	0.1378	0.3813	0.4075	0.4071	0.4337	0.3445	0.3701	0.3697	0.396	0.5886	0.6117	0.6117	0.6346	0.8054	0.8284	0.8286	0.8502	0.1436	0.1774	0.1753	0.2134	0.5009	0.5446	0.544	0.5878	0.4498	0.4891	0.4885	0.5282	0.6532	0.7258	0.7254	0.7922	0.8679	0.9263	0.9271	0.9672	108.8362	801.034	387.3885	563.4157	352.4475	599.8447	741.9175	470.9863	634.0451	131.4294	57.1548	265.1224	193.2438	161.6702	214.9769	224.6752	80.1527	30.3994	68.1111	5.5981	8092
ENSG00000003436	TFPI	226.5	1513	1089.75	1610.5833	2269.5	1740.6667	117	497.75	507.5833	738	306	362.5	0.022	0.0319	0.0308	0.0433	0.136	0.1579	0.157	0.1809	0.1058	0.1216	0.1209	0.1382	0.1943	0.2109	0.2105	0.2278	0.2497	0.2701	0.2697	0.2909	0.0532	0.079	0.076	0.1088	0.4417	0.4944	0.4934	0.5469	0.3712	0.4109	0.4101	0.451	0.5551	0.6222	0.6218	0.6867	0.6186	0.6784	0.6786	0.7351	23.3943	709.2993	112.5088	599.9337	133.6361	965.4103	336.9604	1261.0766	339.5257	917.452	19.8887	231.6754	120.4461	123.2526	168.441	241.5299	90.8973	55.278	117.3161	55.7023	7690
ENSG00000116044	NFE2L2	192.5	1842.5	1532.5	1600.5	2417	2144.5	126	733	950	1140	391	560.5	0.1862	0.2095	0.2087	0.2337	0.6969	0.7317	0.7317	0.765	0.7276	0.7583	0.7584	0.7876	0.8684	0.8929	0.8932	0.915	0.9481	0.9746	0.9741	0.9898	0.28	0.3245	0.3227	0.3701	0.8466	0.8961	0.8965	0.9363	0.8239	0.8653	0.8656	0.9017	0.8996	0.9704	0.9796	0.9935	0.98	1	1	0.9996	165.874	625.8496	334.8252	122.8669	417.7822	133.2761	424.4176	51.0282	154.9325	4.4173	94.6174	197.0808	110.7096	12.9738	179.0885	28.0033	41.0097	1.7782	151.4246	1.0351	2853
ENSG00000196141	SPATS2L	599	6994.5	6473.7	5475.5	8694.2	7271	169.5	1459	1590.5	1723	630	773.5	0.0249	0.0304	0.03	0.0363	0.1228	0.1328	0.1326	0.1431	0.1173	0.1274	0.1271	0.1378	0.1791	0.1886	0.1885	0.1983	0.2706	0.2823	0.2822	0.2941	0.0786	0.0986	0.0972	0.1204	0.3642	0.3973	0.3966	0.4306	0.3447	0.3751	0.3744	0.4059	0.41	0.464	0.4626	0.5181	0.541	0.5909	0.5903	0.6396	73.4265	2343.5336	400.5183	2615.6169	363.4815	2490.0117	846.724	3642.3763	1115.869	2836.814	53.965	493.0536	233.5501	354.4231	253.9708	423.1653	106.4761	123.0683	158.726	109.9876	6156
ENSG00000082153	BZW1	805.1667	5510.9167	4371.6167	6733.2833	9749.0667	7843	150.3333	763.4167	840.75	1367.0833	482.1667	695.5	0.0315	0.0373	0.037	0.0435	0.1198	0.1301	0.1298	0.1406	0.1184	0.1264	0.1263	0.1347	0.1741	0.1818	0.1817	0.1896	0.2569	0.2666	0.2665	0.2763	0.0843	0.1088	0.1069	0.1356	0.357	0.3938	0.3931	0.4311	0.3166	0.3442	0.3436	0.3722	0.3565	0.4048	0.4035	0.4536	0.4077	0.4484	0.4477	0.4892	101.2385	2612.4317	366.9856	2454.7132	570.7658	3943.2542	1221.2776	5496.3806	1504.437	4139.0229	43.1511	353.474	184.6136	284.2157	271.7385	517.8543	111.5199	164.0502	180.433	222.0453	6875
ENSG00000082258	CCNT2	68	662	540.5	733	1019.5	909	106	438	538.5	805	265	357	0.207	0.2443	0.2426	0.2832	0.7979	0.8494	0.8502	0.8943	0.8137	0.8538	0.8545	0.8896	0.9135	0.9477	0.9485	0.9732	0.9824	1	1	0.9996	0.1966	0.2432	0.2405	0.2924	0.8537	0.9135	0.9144	0.9576	0.8725	0.9178	0.9185	0.9533	0.9548	1	1	0.9989	0.9652	1	1	0.9992	83.7993	259.2399	125.5278	22.3648	198.8812	34.1703	140.6988	7.9168	180.5313	1.1061	52.402	163.1361	70.8974	6.8657	113.0226	10.2614	69.5967	1.1191	89.3815	1.0912	6917
ENSG00000119888	EPCAM	857	10031	8983.3333	6851.5	13701	12220.5	130	1212	1500	1380	636	927	0.0103	0.0136	0.0133	0.0172	0.0509	0.0566	0.0564	0.0625	0.0471	0.0531	0.0529	0.0594	0.0887	0.0943	0.0942	0.1	0.1094	0.1156	0.1155	0.1219	0.0261	0.0404	0.0386	0.0572	0.1477	0.1709	0.1698	0.1951	0.1257	0.1477	0.1466	0.171	0.1657	0.2033	0.201	0.2432	0.2277	0.2618	0.2605	0.297	41.7704	3035.8658	244.6013	4078.0944	193.3715	3447.3077	685.4685	6582.9917	823.1825	6297.6218	17.2792	410.1253	116.1353	563.6247	97.6666	563.4928	59.0491	231.4239	113.7319	320.7423	1724
ENSG00000124831	LRRFIP1	560.5	4898.5	4703.5	4108.6667	6244.5	5445.3333	143.5	1563.5	1706.8333	1963.5	679	841	0.0403	0.0484	0.0479	0.0571	0.2388	0.2543	0.254	0.27	0.2197	0.2347	0.2344	0.2499	0.3235	0.3376	0.3374	0.3517	0.4651	0.4815	0.4814	0.4978	0.0483	0.0641	0.0628	0.0818	0.3338	0.3647	0.364	0.396	0.3056	0.3321	0.3315	0.3589	0.3987	0.4484	0.4472	0.4983	0.5466	0.5941	0.5936	0.6405	84.9578	1670.7584	533.5263	1564.8444	497.9785	1624.2872	1021.6552	2005.0057	1218.4062	1312.3482	36.914	538.3052	235.7309	410.7365	279.5739	562.4289	120.6876	148.5472	175.5297	120.0265	4370
ENSG00000079246	XRCC5	941	8699.5	7267	8299	13048.5	11406	152	1347	1398.5	1909.5	647.5	1006.5	0.0029	0.0048	0.0045	0.0072	0.0622	0.0684	0.0682	0.0749	0.0591	0.0647	0.0645	0.0705	0.1069	0.1125	0.1124	0.1182	0.1528	0.1596	0.1595	0.1664	0.012	0.0207	0.0193	0.0313	0.1835	0.2072	0.2063	0.2317	0.1781	0.1979	0.1972	0.2182	0.2151	0.2517	0.2501	0.2897	0.3067	0.3389	0.3381	0.3717	13.8844	2852.3234	290.7857	3960.448	323.3084	4673.7176	941.5235	7426.8677	1234.131	6501.0168	11.9825	565.9663	158.0742	604.9802	210.9917	855.4727	91.8721	273.2374	193.9629	378.399	3761
ENSG00000179833	SERTAD2	75	883.5	605.5	724.5	1023.5	870.8333	148	527	648	794	299	539	0.3175	0.3568	0.3557	0.3968	0.8064	0.8593	0.86	0.9046	0.7742	0.819	0.8195	0.8597	0.9319	0.9695	0.9693	0.9893	0.9369	0.9761	0.9756	0.9925	0.2925	0.343	0.341	0.3949	0.8896	0.9482	0.9491	0.9823	0.8585	0.9058	0.9065	0.9438	0.9505	1	1	0.9988	0.9815	1	1	0.9996	140.795	253.8652	115.3968	19.0159	178.7577	39.6151	98.0098	3.4755	89.2156	2.7185	79.3998	152.1634	58.6663	3.4799	113.5223	11.9371	63.4473	1.1198	164.0828	1.0337	5549
ENSG00000138448	ITGAV	466.5	3848.5	2786	3827.5	5635	4322.5	160	1076.5	839	1390.5	540	651	0.0088	0.0134	0.0129	0.0187	0.0627	0.0729	0.0724	0.0836	0.0729	0.0818	0.0815	0.0911	0.0906	0.0986	0.0984	0.1068	0.119	0.1289	0.1287	0.1391	0.0284	0.0417	0.0401	0.0571	0.2153	0.2474	0.2462	0.2807	0.2178	0.2421	0.2414	0.267	0.2871	0.3304	0.329	0.3749	0.4586	0.5027	0.5021	0.5466	19.4326	1431.0404	121.337	1543.9856	200.8864	2255.4053	361.9059	3309.6746	386.8847	2613.6355	21.62	496.4581	116.3086	353.8696	198.2655	620.7571	102.1433	207.0342	174.9887	173.1758	7030
ENSG00000163466	ARPC2	612.1111	6312.3333	6038	5697.5	9982.5	8898.6667	141.6667	1136.6667	1340.1667	1586.3333	595.5	812.5	0.0144	0.0188	0.0184	0.0237	0.0702	0.0779	0.0776	0.0858	0.0753	0.0831	0.0829	0.0912	0.1038	0.1105	0.1104	0.1174	0.1271	0.1346	0.1345	0.1423	0.0334	0.0485	0.0469	0.066	0.2688	0.2981	0.2973	0.328	0.2567	0.2833	0.2826	0.3105	0.29	0.3361	0.3344	0.3835	0.269	0.3055	0.3043	0.343	42.7836	2234.2252	247.7573	2933.2924	270.7184	2986.3593	637.9079	5134.4888	739.0373	4750.8263	22.5974	442.4603	191.8307	451.7982	215.0332	544.0528	92.5091	182.7789	127.8517	290.6578	2226
ENSG00000071082	RPL31	591	4491	4839.25	5417.9167	6680.8095	6854.3333	167	1335.8333	1417	2010.9167	534.8333	658.8333	0.0242	0.0309	0.0304	0.0382	0.0604	0.0686	0.0682	0.0772	0.0556	0.063	0.0627	0.0708	0.0854	0.0932	0.093	0.1013	0.1091	0.1173	0.1171	0.1258	0.0566	0.0745	0.073	0.0943	0.1294	0.1517	0.1506	0.1752	0.1255	0.144	0.1432	0.1633	0.1361	0.1737	0.1709	0.2142	0.2188	0.2581	0.2563	0.299	51.2769	1609.0394	167.3522	2273.6425	174.2668	2590.3627	335.1866	3260.0606	469.4313	3531.2491	38.8241	482.242	100.1719	560.1659	133.4364	793.4587	43.9886	209.3161	82.9768	238.589	2328
ENSG00000143947	RPS27A	1001.6667	8035.25	7483.75	8807.3333	12682.575	11592.0333	468.5	2871.5	3435.0833	5866.3333	1725	1997.1667	0.0168	0.0208	0.0206	0.0251	0.0514	0.0572	0.057	0.0632	0.047	0.052	0.0519	0.0573	0.0749	0.0799	0.0798	0.0851	0.099	0.1047	0.1046	0.1105	0.0448	0.0548	0.0541	0.0656	0.0669	0.0769	0.0765	0.0875	0.0626	0.0701	0.0699	0.0779	0.0854	0.1011	0.1003	0.1179	0.1006	0.1157	0.115	0.1315	65.4545	3081.4712	237.9477	3923.8911	259.7521	4731.7878	614.6445	7076.7437	795.6369	6804.4262	70.8712	1223.042	139.0458	1668.0056	210.7816	2795.4046	93.969	835.2126	134.2011	1025.8353	1159
ENSG00000153827	TRIP12	498	4061.5	3003	3661	5019.5	3668.5	203	1223.5	1223.5	1607	651	896.5	0.0271	0.0338	0.0334	0.0412	0.1704	0.1853	0.185	0.2007	0.1731	0.1863	0.186	0.1998	0.3027	0.3164	0.3163	0.3303	0.45	0.4674	0.4673	0.4848	0.0381	0.053	0.0515	0.0697	0.4127	0.4468	0.4463	0.4809	0.3533	0.3813	0.3808	0.4096	0.5998	0.6496	0.6493	0.6975	0.7975	0.8389	0.8393	0.8762	60.0334	1714.1791	329.8549	1450.0432	427.6621	1868.3135	976.0796	2108.5552	1043.443	1189.1395	28.6302	511.6641	256.4304	317.5821	306.7908	497.8486	167.1559	90.2777	196.9659	37.9384	9874
ENSG00000134070	IRAK2	65	601.5	518	445	948	859	111	187	271	341	218	380	0.0662	0.0935	0.0907	0.1244	0.7054	0.7656	0.7657	0.8205	0.5532	0.6128	0.6123	0.6705	0.8465	0.8872	0.8877	0.9221	0.9313	0.9741	0.9739	0.9921	0.0751	0.1311	0.1221	0.1979	0.7459	0.8417	0.842	0.9167	0.7627	0.8428	0.8433	0.9079	0.9358	1	1	0.9985	0.9705	1	1	0.9994	25.1111	243.2724	111.4153	34.2284	113.7022	71.928	166.5954	21.3039	80.0567	2.6446	10.4721	69.3374	40.5453	7.7625	56.1981	10.6141	48.4481	1.1165	103.4724	1.0529	3483
ENSG00000138434	SSFA2	956.5	9117	6483	7342.5	10636.3333	7875.5	508	4434.5	4354.5	6110.8333	2124.5	2776.5	0.0872	0.0944	0.0942	0.1018	0.3379	0.3512	0.3511	0.3647	0.3309	0.3426	0.3425	0.3545	0.4985	0.5094	0.5093	0.5203	0.6966	0.7092	0.7092	0.7215	0.1425	0.1553	0.1549	0.1684	0.5048	0.5239	0.5238	0.543	0.4848	0.5003	0.5002	0.5157	0.6848	0.7127	0.7127	0.7397	0.8913	0.9141	0.9143	0.9344	411.2404	3945.7478	1206.2992	2228.3059	1493.0949	2864.6085	2906.2678	2799.3328	2552.7868	1046.9243	328.1253	1785.4407	967.8995	879.5529	1414.9723	1413.6151	523.526	211.141	416.2391	39.2363	6473
ENSG00000157985	AGAP1	310.5	3929.6667	3980.25	2568	4885.5	3963	121.5	1575.5	1833.5	1777.7857	737	1010	0.0777	0.09	0.0894	0.1031	0.2742	0.2931	0.2927	0.3122	0.2828	0.3052	0.3047	0.3279	0.421	0.4397	0.4395	0.4583	0.5678	0.5893	0.5892	0.6106	0.0686	0.0878	0.0863	0.1088	0.3568	0.3892	0.3884	0.4217	0.3742	0.4069	0.4062	0.4397	0.476	0.5337	0.5323	0.5904	0.7539	0.8075	0.8074	0.8556	123.3839	1247.2758	454.9769	1097.5873	343.4641	782.0182	841.2966	1072.3951	843.5455	587.9702	46.8732	486.9744	237.2366	372.5073	246.6158	359.6443	109.3393	95.6482	130.4508	31.2222	10832
ENSG00000152518	ZFP36L2	485	4573	7742.5	4648.8333	9744	7023	234	3523	6127.5	5404	2975.5	2859.5	0.418	0.4405	0.4402	0.463	0.9322	0.9512	0.9513	0.967	0.921	0.9422	0.9424	0.96	0.9766	0.9987	0.9933	0.9981	0.9464	0.9637	0.9639	0.9776	0.3554	0.3799	0.3794	0.4045	0.99	1	1	0.9998	0.9837	1	1	0.9996	0.9942	1	1	0.9999	0.9928	1	1	0.9999	578.4065	734.8296	393.7764	20.3582	363.4706	22.4626	207.3461	2.1109	370.9079	14.1167	401.4743	655.5681	311.9073	1.0671	204.3478	1.1928	518.15	1.0121	418.3566	1.0197	3696
ENSG00000138095	LRPPRC	576.5	4598	3469	4018.5	6281	5075.5	123	1069	1124	1562.5	574	860.5	0.0099	0.0141	0.0137	0.0191	0.1243	0.1364	0.1361	0.1489	0.1115	0.1219	0.1217	0.1328	0.1832	0.1934	0.1932	0.2037	0.2355	0.2476	0.2474	0.2598	0.0108	0.0204	0.0185	0.0325	0.3238	0.3564	0.3557	0.3895	0.2905	0.317	0.3164	0.344	0.4143	0.4639	0.4628	0.5135	0.6169	0.6594	0.6592	0.7004	24.8687	1732.0597	286.7315	1815.41	311.986	2246.3842	779.7536	3252.6261	842.9086	2561.8614	9.1379	438.0178	204.4785	369.3122	259.4015	558.9778	126.4908	146.2518	229.3231	118.5715	6335
ENSG00000134308	YWHAQ	941.8333	10400.6167	8791.9167	8279.7	14646.3333	12263.5	148.5	1391.6667	1496.1667	1692.5	754	907	0.0062	0.009	0.0087	0.0123	0.0453	0.0508	0.0506	0.0566	0.048	0.0534	0.0532	0.0589	0.0751	0.0799	0.0798	0.0848	0.1083	0.1144	0.1142	0.1205	0.0176	0.0285	0.027	0.0416	0.1722	0.1964	0.1955	0.2217	0.1609	0.1819	0.1811	0.2038	0.1573	0.1895	0.1877	0.2235	0.1766	0.2066	0.2052	0.2381	23.6404	2596.774	204.7658	3825.2341	245.944	4363.0611	665.6933	7667.6081	843.7197	6534.3216	14.6271	497.4744	136.5134	558.4678	158.8297	714.2636	71.6597	306.5804	96.5502	370.786	2216
ENSG00000152291	TGOLN2	569	6067.5	4631.5	5085.3333	9542.5	7552.5	101	1415	1333.5	1584.5	637	864	0.0258	0.0311	0.0308	0.0368	0.1295	0.1405	0.1403	0.1519	0.123	0.1328	0.1325	0.1429	0.2007	0.2092	0.2091	0.2179	0.2998	0.3107	0.3106	0.3217	0.0578	0.0738	0.0726	0.0912	0.3125	0.343	0.3423	0.3739	0.27	0.2955	0.2949	0.3215	0.3755	0.4201	0.4191	0.4651	0.4587	0.4976	0.4971	0.5364	82.7412	2578.6577	365.2872	2233.8329	417.4519	2726.7316	1272.4437	4808.7182	1506.3089	3341.3568	48.7538	611.9581	221.829	425.0453	250.2689	596.6819	137.6515	190.0578	222.7097	224.9128	6489
ENSG00000115963	RND3	70	770.5	537	801	1046	923	109	385.5	609	974	321.5	520	0.49	0.5366	0.5359	0.5827	0.887	0.9397	0.9408	0.975	0.8856	0.9263	0.927	0.9581	0.8799	0.9134	0.9141	0.9416	0.9665	1	1	0.9986	0.532	0.6018	0.6007	0.6691	0.961	1	1	0.9989	0.9738	1	1	0.9994	0.9597	1	1	0.9991	0.9778	1	1	0.9996	167.2128	144.4719	73.305	4.9008	128.4851	10.3708	203.8491	19.4527	110.3166	1.4206	82.4102	54.6272	83.7981	1.1792	122.2997	1.1343	77.4077	1.0982	137.6042	1.0506	2777
ENSG00000115241	PPM1G	444	5550.25	4611	3753.25	7155	6153.0833	109	1549.25	1616.5	1657	715	859	0.0183	0.0238	0.0234	0.0299	0.146	0.1585	0.1581	0.1712	0.115	0.1271	0.1267	0.1396	0.1941	0.2048	0.2046	0.2156	0.2771	0.2899	0.2897	0.3028	0.0167	0.0272	0.0257	0.04	0.2053	0.2312	0.2303	0.2579	0.1896	0.2139	0.213	0.239	0.2435	0.2849	0.2831	0.3278	0.3775	0.4193	0.4183	0.4615	44.1819	1812.8834	359.9828	1911.9548	251.52	1727.2414	780.6038	3030.945	974.6749	2387.8055	14.1625	505.014	160.3272	533.2317	159.0797	584.9015	88.1762	221.38	156.3246	216.5581	3752
ENSG00000061676	NCKAP1	621	5556.5	4151.5	5117.5	7294.5	5755.5	160	1647.8333	1322	1918.5	639	796	0.0122	0.0163	0.0159	0.0209	0.0623	0.071	0.0706	0.0801	0.0603	0.0675	0.0672	0.0749	0.0917	0.0989	0.0987	0.1063	0.1258	0.1348	0.1346	0.1441	0.0319	0.0439	0.0428	0.0574	0.1798	0.2046	0.2036	0.2303	0.1662	0.1853	0.1847	0.2051	0.2396	0.2791	0.2775	0.3199	0.3602	0.3999	0.399	0.44	37.7781	2277.402	159.3102	2085.0601	214.6097	2966.7216	448.9868	4089.8747	505.7904	3245.4041	30.4492	662.6509	140.6152	546.7893	199.8131	878.4782	93.9509	242.7843	162.6952	244.1844	20347
ENSG00000143933	CALM2	926.8333	6852.3333	5091.5	8331.5	12475.5	10290.75	165.5	1059.5	997.1667	1942	635.5	805	0.0666	0.0734	0.0732	0.0805	0.1409	0.1509	0.1507	0.1612	0.1387	0.1463	0.1462	0.154	0.1836	0.1904	0.1903	0.1973	0.2718	0.2803	0.2802	0.2889	0.2504	0.2813	0.2804	0.313	0.4563	0.4924	0.4919	0.5283	0.4556	0.4807	0.4805	0.5057	0.4378	0.481	0.4804	0.5241	0.4939	0.5322	0.5319	0.5701	278.4787	3513.9305	503.6732	2833.2536	844.7671	4928.3768	1681.5333	7149.4039	2083.813	5350.3055	156.6474	400.2427	256.9544	264.9994	517.1142	558.749	173.8871	187.711	246.6726	216.9475	4502
ENSG00000091409	ITGA6	1431.5	13502.5	10602.8333	11798.8333	19181.3333	14390.5	204	2330.5	2288.6667	2792	1110.5	1328.5	0.01	0.0124	0.0122	0.015	0.057	0.0622	0.062	0.0675	0.0586	0.0633	0.0631	0.0681	0.0903	0.0947	0.0946	0.0992	0.131	0.1367	0.1366	0.1426	0.0138	0.021	0.0201	0.0294	0.2017	0.2214	0.2208	0.2415	0.1848	0.2014	0.201	0.2183	0.2915	0.3233	0.3225	0.3557	0.2873	0.3151	0.3145	0.3434	64.6465	5159.2172	352.4054	5316.9547	450.2235	6667.5587	1114.3661	10654.8329	1294.0432	8171.1987	18.8106	877.1472	260.0795	914.9353	312.1321	1237.903	185.3453	388.0049	234.0858	508.8916	5618
ENSG00000138061	CYP1B1	223	2359	2972	2757	4144.3333	2853.1667	587	2065	4946	5869	3020.5	4213	0.1976	0.2189	0.2182	0.2409	0.6971	0.7227	0.7227	0.7475	0.7147	0.7386	0.7387	0.7618	0.7965	0.8164	0.8164	0.8354	0.8866	0.9087	0.909	0.9286	0.3196	0.3473	0.3467	0.3754	0.968	0.9966	0.9922	0.9977	0.9852	1	1	0.9996	0.9954	1	1	0.9999	0.9969	1	1	0.9999	215.8551	770.2744	614.7866	236.0055	694.0258	245.6964	877.834	197.5628	461.1599	46.4513	273.6617	514.3868	142.9791	1.955	228.7336	1.2257	648.95	1.0136	956.5856	1.0107	5250
ENSG00000173166	RAPH1	389	3543	2279	2751.5	4228.5	3647.5	216.3333	1353.5	1404	1752	652	1000.5	0.0506	0.0599	0.0594	0.0698	0.503	0.528	0.5278	0.5528	0.4419	0.4628	0.4626	0.4837	0.7184	0.736	0.736	0.7531	0.876	0.8932	0.8934	0.9093	0.073	0.0908	0.0896	0.11	0.6535	0.689	0.6889	0.7232	0.5379	0.5674	0.5672	0.5966	0.7624	0.8128	0.8132	0.8581	0.9508	0.993	0.9927	0.9971	98.7048	1548.9888	573.8514	513.1669	712.8246	827.5067	1284.72	461.0547	832.196	99.6031	59.094	591.7876	328.5432	148.433	436.0981	332.5362	145.3109	33.5859	83.9197	1.7018	9808
ENSG00000134107	BHLHE40	139	1276	2404	1892	2812.5	1943	431	510	2493	2060	1300.5	2082.5	0.5381	0.5811	0.5805	0.6232	0.907	0.9375	0.9377	0.9619	0.9311	0.9629	0.9629	0.9837	0.9286	0.9527	0.953	0.9718	0.9497	0.9787	0.9776	0.9923	0.4995	0.5665	0.565	0.6318	0.9923	1	1	0.9999	0.9876	1	1	0.9998	0.9903	1	1	0.9998	0.9944	1	1	0.9999	210.9272	152.1962	195.4311	13.1844	133.9028	5.4151	246.7873	12.3976	132.3985	3.4076	85.489	65.5192	392.6427	1.0201	247.9767	1.052	310.3314	1.0212	537.9596	1.0129	3473
ENSG00000168137	SETD5	238	2373.6667	1864	1683.6667	2713	2516	122	1270.5	1326.3333	1451.5	529	680	0.11	0.1259	0.1253	0.1427	0.6136	0.6432	0.6431	0.6721	0.5729	0.6033	0.6031	0.6332	0.7821	0.8051	0.8052	0.8271	0.9188	0.9408	0.9411	0.9593	0.0998	0.1215	0.1201	0.1447	0.6647	0.7031	0.703	0.74	0.583	0.6185	0.6182	0.6532	0.8796	0.9457	0.9474	0.9828	0.9727	1	1	0.9994	139.6449	969.1534	465.6226	258.4398	429.136	282.3077	673.8963	163.2576	343.6516	21.7602	69.3608	501.6507	279.42	118.1003	319.892	197.4609	49.322	3.1114	114.0123	1.0858	6827
ENSG00000187514	PTMA	1818.4833	26114.1548	20381.2956	16643.1167	33607.7318	32832.9107	419.9167	6060.1167	6489.8833	6000.2667	2418.4	3400.0667	0.0142	0.0164	0.0163	0.0187	0.055	0.0589	0.0588	0.0629	0.048	0.0519	0.0518	0.0559	0.0746	0.0778	0.0778	0.0811	0.1076	0.1113	0.1113	0.1151	0.0234	0.0292	0.0289	0.0356	0.087	0.0957	0.0954	0.1046	0.0823	0.0911	0.0908	0.1001	0.1067	0.1218	0.1212	0.1376	0.1311	0.1445	0.1441	0.1583	143.7587	8621.5247	573.0855	9157.8193	440.6434	8046.654	1445.3516	17126.3686	2070.7664	16529.0602	59.6672	1980.405	288.2236	2724.8476	258.5762	2581.1885	147.3098	1062.3199	261.264	1546.9234	1635
ENSG00000188846	RPL14	728.4167	7132.6667	6012.9167	6528.3333	11247.5833	10190.9167	154	2237.25	2224.0833	2663.4167	852.3333	1077.8333	0.0119	0.0159	0.0156	0.0204	0.0655	0.0732	0.0729	0.0811	0.0589	0.0657	0.0654	0.0727	0.1023	0.1086	0.1085	0.115	0.1362	0.1435	0.1434	0.151	0.0266	0.0367	0.0357	0.0481	0.0956	0.1111	0.1103	0.1274	0.0968	0.1108	0.1102	0.1255	0.1506	0.1803	0.1787	0.2117	0.1811	0.2087	0.2075	0.2374	37.7661	2332.7066	219.8829	2785.4083	228.6256	3252.7241	700.1761	5747.6043	875.3078	5224.2102	29.9755	787.0629	116.6515	933.5512	143.443	1151.2544	77.0832	350.4749	117.1988	444.5449	7072
ENSG00000115310	RTN4	1150.5	13851.6667	12959.8333	9993.3333	20123.8333	16911	159.5	2300.5	2580	2717.5	1138.3333	1460	0.0292	0.0332	0.0331	0.0375	0.0807	0.0867	0.0865	0.0928	0.0832	0.0895	0.0894	0.096	0.1257	0.131	0.1309	0.1363	0.18	0.1866	0.1865	0.1933	0.0386	0.0505	0.0496	0.0636	0.1706	0.1898	0.1892	0.2097	0.1534	0.1703	0.1697	0.1877	0.1857	0.2147	0.2135	0.2448	0.2327	0.2597	0.2589	0.2874	168.5731	4903.1081	504.372	5315.4959	487.2366	4955.8077	1413.8968	9382.8524	1710.9867	7457.9549	41.5766	781.6435	206.6354	881.8809	222.0351	1082.045	111.8467	409.1959	180.3602	514.1867	4790
